ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
33586-2605-1.zip,202202100951,真庭郡新庄村,956-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,956-3,,
33586-2605-1.zip,202202100951,真庭郡新庄村,956-4,,
33586-2605-1.zip,202202100951,真庭郡新庄村,956-5,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-5,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-6,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-7,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-8,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-9,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-10,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-11,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-12,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-13,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-14,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-15,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-16,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-17,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-18,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-19,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-20,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-21,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-22,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-23,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-24,,
33586-2605-1.zip,202202100951,真庭郡新庄村,957-25,,
33586-2605-1.zip,202202100951,真庭郡新庄村,958-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,959,,
33586-2605-1.zip,202202100951,真庭郡新庄村,960-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,961-3,,
33586-2605-1.zip,202202100951,真庭郡新庄村,961-5,,
33586-2605-1.zip,202202100951,真庭郡新庄村,962-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,962-3,,
33586-2605-1.zip,202202100951,真庭郡新庄村,965-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,965-2,,
33586-2605-1.zip,202202100951,真庭郡新庄村,966-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,966-2,,
33586-2605-1.zip,202202100951,真庭郡新庄村,967-2,,
33586-2605-1.zip,202202100951,真庭郡新庄村,968,,
33586-2605-1.zip,202202100951,真庭郡新庄村,975-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,976-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,976-3,,
33586-2605-1.zip,202202100951,真庭郡新庄村,976-5,,
33586-2605-1.zip,202202100951,真庭郡新庄村,976-7,,
33586-2605-1.zip,202202100951,真庭郡新庄村,977-1,,
33586-2605-1.zip,202202100951,真庭郡新庄村,977-2,,
33586-2605-1.zip,202202100951,真庭郡新庄村,978,,
33586-2605-1.zip,202202100951,真庭郡新庄村,980-1,,
